Date,Open,High,Low,Close,Adj Close,Volume
2021-11-17,4.290000,4.430000,4.280000,4.320000,3.982200,460700
2021-11-18,4.300000,4.320000,4.230000,4.270000,3.936110,319000
2021-11-19,4.250000,4.470000,4.250000,4.370000,4.028290,603600
2021-11-22,4.400000,4.430000,4.290000,4.290000,3.954546,306200
2021-11-23,4.350000,4.350000,4.220000,4.300000,3.963765,306000
2021-11-24,4.330000,4.460000,4.250000,4.370000,4.028290,419800
2021-11-25,4.360000,4.460000,4.350000,4.410000,4.065163,331600
2021-11-26,4.290000,4.440000,4.290000,4.350000,4.009854,495700
2021-11-29,4.350000,4.460000,4.340000,4.440000,4.092817,389700
2021-11-30,4.460000,4.500000,4.290000,4.440000,4.092817,710400
2021-12-01,4.450000,4.620000,4.450000,4.510000,4.157343,1206700
2021-12-02,4.490000,4.620000,4.470000,4.570000,4.212652,473500
2021-12-03,4.570000,4.730000,4.510000,4.550000,4.194216,424800
2021-12-06,4.560000,4.750000,4.540000,4.730000,4.360140,680600
2021-12-07,4.670000,4.800000,4.670000,4.720000,4.350922,257900
2021-12-08,4.750000,4.770000,4.680000,4.730000,4.360140,373000
2021-12-09,4.730000,4.750000,4.680000,4.720000,4.350922,324200
2021-12-10,4.730000,4.850000,4.730000,4.830000,4.452321,409700
2021-12-13,4.850000,4.860000,4.770000,4.830000,4.452321,295300
2021-12-14,4.840000,4.960000,4.790000,4.850000,4.470757,440400
2021-12-15,4.840000,4.880000,4.790000,4.840000,4.461539,396400
2021-12-16,4.830000,4.960000,4.790000,4.860000,4.479975,1388800
2021-12-17,4.840000,4.980000,4.840000,4.950000,4.562938,595500
2021-12-20,4.950000,4.950000,4.830000,4.900000,4.516847,479200
2021-12-21,4.900000,4.920000,4.840000,4.910000,4.526065,201400
2021-12-22,4.910000,4.940000,4.850000,4.940000,4.553720,238700
2021-12-23,4.940000,5.010000,4.880000,4.930000,4.544501,472400
2021-12-27,4.990000,4.990000,4.930000,4.980000,4.590592,308800
2021-12-28,4.940000,4.980000,4.870000,4.940000,4.553720,279400
2021-12-29,4.940000,4.970000,4.900000,4.940000,4.553720,257700
2021-12-30,4.940000,5.050000,4.940000,5.000000,4.609028,495900
2022-01-03,5.000000,5.040000,4.880000,5.020000,4.627464,546100
2022-01-04,5.010000,5.080000,4.940000,5.040000,4.645900,812700
2022-01-05,5.040000,5.060000,4.870000,4.870000,4.489193,534700
2022-01-06,4.870000,5.020000,4.870000,4.930000,4.544501,568200
2022-01-07,4.950000,4.950000,4.810000,4.810000,4.433885,424300
2022-01-10,4.810000,4.860000,4.770000,4.840000,4.461539,428300
2022-01-11,4.840000,4.870000,4.780000,4.790000,4.415449,506000
2022-01-12,4.770000,4.990000,4.770000,4.960000,4.572155,593400
2022-01-13,4.980000,5.030000,4.860000,4.890000,4.507629,579700
2022-01-14,4.880000,4.940000,4.840000,4.870000,4.489193,378700
2022-01-17,4.870000,4.870000,4.680000,4.690000,4.323268,804500
2022-01-18,4.650000,4.820000,4.620000,4.810000,4.433885,727400
2022-01-19,4.820000,4.950000,4.800000,4.930000,4.544501,593700
2022-01-20,4.930000,5.060000,4.850000,4.910000,4.526065,664400
2022-01-21,4.910000,4.910000,4.730000,4.730000,4.360140,660100
2022-01-24,4.730000,4.730000,4.610000,4.670000,4.304832,803900
2022-01-25,4.640000,4.640000,4.560000,4.630000,4.267960,849200
2022-01-26,4.670000,4.700000,4.610000,4.650000,4.286396,662100
2022-01-27,4.650000,4.780000,4.650000,4.740000,4.369358,523600
2022-01-28,4.740000,4.820000,4.640000,4.760000,4.387795,609500
2022-01-31,4.790000,4.850000,4.740000,4.760000,4.387795,400200
2022-02-01,4.820000,4.830000,4.700000,4.770000,4.397013,693800
2022-02-02,4.770000,4.790000,4.710000,4.720000,4.350922,308700
2022-02-03,4.720000,4.810000,4.690000,4.800000,4.424667,391000
2022-02-04,4.800000,4.900000,4.670000,4.860000,4.479975,742100
2022-02-07,4.880000,4.890000,4.760000,4.820000,4.443103,315500
2022-02-08,4.820000,4.880000,4.750000,4.850000,4.470757,444700
2022-02-09,4.860000,4.930000,4.770000,4.870000,4.489193,747600
2022-02-10,4.880000,4.880000,4.690000,4.730000,4.360140,1556500
2022-02-11,4.740000,4.770000,4.550000,4.570000,4.212652,1366800
2022-02-14,4.600000,4.650000,4.540000,4.610000,4.249524,512700
2022-02-15,4.550000,4.580000,4.400000,4.460000,4.173394,2169100
2022-02-16,4.460000,4.470000,4.370000,4.440000,4.154679,891500
2022-02-17,4.440000,4.500000,4.370000,4.450000,4.164037,643600
2022-02-18,4.420000,4.500000,4.400000,4.470000,4.182751,778400
2022-02-21,4.440000,4.500000,4.400000,4.460000,4.173394,453400
2022-02-22,4.460000,4.530000,4.430000,4.510000,4.220181,568100
2022-02-23,4.500000,4.550000,4.320000,4.360000,4.079820,792000
2022-02-24,4.240000,4.460000,4.220000,4.350000,4.070463,1083300
2022-02-25,4.350000,4.450000,4.330000,4.450000,4.164037,453500
2022-03-02,4.450000,4.560000,4.420000,4.420000,4.135965,602600
2022-03-03,4.430000,4.510000,4.400000,4.430000,4.145321,441100
2022-03-04,4.450000,4.690000,4.440000,4.620000,4.323112,1049700
2022-03-07,4.610000,4.750000,4.610000,4.640000,4.341827,1003600
2022-03-08,4.640000,4.790000,4.640000,4.730000,4.426043,749600
2022-03-09,4.760000,4.800000,4.670000,4.740000,4.435400,516300
2022-03-10,4.730000,4.890000,4.720000,4.850000,4.538332,1046200
2022-03-11,4.840000,5.000000,4.840000,4.900000,4.585119,506700
2022-03-14,4.900000,4.960000,4.800000,4.840000,4.528974,443500
2022-03-15,4.840000,4.850000,4.700000,4.710000,4.407328,339400
2022-03-16,4.710000,4.870000,4.710000,4.820000,4.510260,250800
2022-03-17,4.790000,4.980000,4.760000,4.920000,4.603834,454100
2022-03-18,4.920000,5.070000,4.920000,5.040000,4.716122,926000
2022-03-21,5.030000,5.220000,4.950000,4.960000,4.641263,1072800
2022-03-22,5.000000,5.110000,4.970000,5.070000,4.744195,513500
2022-03-23,5.020000,5.110000,4.950000,5.000000,4.678692,574700
2022-03-24,4.990000,5.150000,4.980000,5.100000,4.772267,836500
2022-03-25,5.070000,5.090000,4.750000,4.770000,4.463473,1357100
2022-03-28,4.800000,4.830000,4.700000,4.760000,4.454115,466100
2022-03-29,4.800000,4.820000,4.720000,4.750000,4.444758,602700
2022-03-30,4.750000,4.770000,4.700000,4.720000,4.416686,502400
2022-03-31,4.750000,4.750000,4.630000,4.660000,4.360541,491300
2022-04-01,4.660000,4.670000,4.530000,4.560000,4.266967,1308600
2022-04-04,4.560000,4.570000,4.480000,4.520000,4.229538,793100
2022-04-05,4.530000,4.550000,4.450000,4.460000,4.173394,930700
2022-04-06,4.430000,4.560000,4.430000,4.530000,4.238895,860400
2022-04-07,4.500000,4.520000,4.410000,4.440000,4.154679,630700
2022-04-08,4.450000,4.510000,4.360000,4.470000,4.182751,554700
2022-04-11,4.440000,4.470000,4.400000,4.410000,4.126607,363900
2022-04-12,4.420000,4.460000,4.380000,4.380000,4.098535,682600
2022-04-13,4.380000,4.460000,4.360000,4.380000,4.098535,445300
2022-04-14,4.370000,4.410000,4.340000,4.390000,4.107892,546400
2022-04-18,4.420000,4.420000,4.280000,4.290000,4.014318,583200
2022-04-19,4.300000,4.300000,4.190000,4.290000,4.014318,683000
2022-04-20,4.300000,4.340000,4.250000,4.270000,3.995604,288000
2022-04-22,4.270000,4.270000,4.170000,4.240000,3.967531,768300
2022-04-25,4.340000,4.340000,4.200000,4.220000,3.948817,516200
2022-04-26,4.220000,4.260000,4.100000,4.100000,3.836528,706500
2022-04-27,4.110000,4.170000,4.070000,4.070000,3.808456,521600
2022-04-28,4.080000,4.120000,4.030000,4.070000,3.808456,650900
2022-04-29,4.070000,4.120000,3.970000,3.970000,3.714882,1251300
2022-05-02,4.000000,4.040000,3.960000,4.030000,3.771027,1128300
2022-05-03,4.060000,4.160000,4.020000,4.100000,3.836528,995800
2022-05-04,4.120000,4.350000,4.120000,4.310000,4.033033,1170100
2022-05-05,4.330000,4.440000,4.280000,4.360000,4.079820,1101100
2022-05-06,4.380000,4.430000,4.290000,4.390000,4.107892,717500
2022-05-09,4.310000,4.310000,4.190000,4.190000,3.977722,496300
2022-05-10,4.200000,4.240000,4.050000,4.100000,3.892282,551600
2022-05-11,4.110000,4.160000,4.040000,4.080000,3.873295,343500
2022-05-12,4.090000,4.150000,4.020000,4.060000,3.854308,450000
2022-05-13,4.090000,4.400000,4.050000,4.220000,4.006202,1002300
2022-05-16,4.220000,4.300000,4.190000,4.210000,3.996709,297700
2022-05-17,4.210000,4.370000,4.210000,4.280000,4.063162,346900
2022-05-18,4.280000,4.350000,4.220000,4.260000,4.044176,280800
2022-05-19,4.250000,4.290000,4.200000,4.230000,4.015695,187300
2022-05-20,4.250000,4.330000,4.170000,4.250000,4.034682,362000
2022-05-23,4.250000,4.350000,4.250000,4.290000,4.072655,410100
2022-05-24,4.290000,4.290000,4.180000,4.250000,4.034682,416500
2022-05-25,4.250000,4.280000,4.160000,4.170000,3.958735,424100
2022-05-26,4.200000,4.300000,4.160000,4.250000,4.034682,637300
2022-05-27,4.250000,4.340000,4.250000,4.280000,4.063162,167800
2022-05-30,4.300000,4.390000,4.250000,4.270000,4.053669,301900
2022-05-31,4.310000,4.350000,4.250000,4.330000,4.110629,427200
2022-06-01,4.300000,4.420000,4.300000,4.400000,4.177083,340700
2022-06-02,4.400000,4.430000,4.330000,4.380000,4.158096,308400
2022-06-03,4.410000,4.410000,4.280000,4.300000,4.082149,248200
2022-06-06,4.320000,4.330000,4.270000,4.300000,4.082149,195100
2022-06-07,4.300000,4.350000,4.270000,4.280000,4.063162,350900
2022-06-08,4.310000,4.310000,4.180000,4.230000,4.015695,459100
2022-06-09,4.240000,4.250000,4.160000,4.200000,3.987215,282800
2022-06-10,4.200000,4.200000,4.100000,4.170000,3.958735,588700
2022-06-13,4.130000,4.160000,4.070000,4.130000,3.920762,455200
2022-06-14,4.150000,4.170000,4.010000,4.050000,3.844815,605300
